time_of_day,location_type,incidents,streetlights,police_patrol,crowd_level,distance_from_home,risk_level
afternoon,urban,0,yes,high,medium,2.71,Low
morning,isolated,4,no,high,low,4.62,Medium
morning,isolated,4,no,low,low,2.98,High
afternoon,rural,4,yes,medium,low,1.74,Low
night,isolated,8,no,high,low,2.68,High
night,isolated,2,yes,high,low,3.51,Medium
afternoon,isolated,8,yes,low,high,0.41,Low
night,urban,10,yes,high,low,1.01,High
evening,urban,9,no,high,medium,0.8,Medium
night,isolated,8,no,high,low,3.85,High
afternoon,isolated,1,yes,high,medium,2.3,Low
night,isolated,8,no,low,medium,4.74,High
night,rural,10,no,medium,low,4.29,High
morning,rural,3,no,high,low,1.3,Low
afternoon,rural,4,yes,low,low,0.41,Medium
afternoon,rural,10,no,high,high,4.85,Medium
morning,rural,0,yes,high,medium,0.57,Low
evening,urban,8,yes,high,medium,2.16,Medium
morning,urban,3,no,low,low,1.38,Medium
evening,isolated,4,no,medium,low,3.57,High
afternoon,urban,7,yes,medium,low,1.66,Medium
afternoon,isolated,8,yes,high,medium,2.68,Low
night,rural,3,yes,low,high,4.66,Medium
afternoon,isolated,7,no,medium,medium,2.79,Medium
afternoon,urban,9,yes,high,medium,2.84,Medium
night,rural,3,no,high,medium,2.96,Medium
morning,isolated,9,yes,medium,high,3.17,Medium
night,rural,10,no,medium,low,3.51,High
night,rural,7,yes,high,medium,3.82,High
morning,rural,8,yes,medium,low,2.33,Medium
evening,rural,1,no,high,low,3.5,Medium
night,isolated,8,yes,low,medium,0.88,High
morning,isolated,2,yes,medium,low,1.81,Low
morning,rural,5,no,high,medium,3.32,Medium
night,urban,10,no,low,high,0.82,High
afternoon,rural,8,yes,low,medium,2.03,Medium
evening,isolated,4,yes,low,medium,3.74,Medium
evening,rural,6,yes,medium,low,1.48,Medium
afternoon,rural,8,no,high,high,1.08,Low
evening,urban,2,no,high,high,4.93,Medium
morning,rural,10,no,low,low,2.72,High
morning,rural,1,no,low,low,4.46,High
evening,isolated,5,yes,low,low,0.61,Medium
night,rural,2,no,medium,high,4.98,High
night,urban,3,no,medium,high,1.1,Medium
night,urban,2,yes,medium,low,0.4,Medium
morning,rural,3,yes,low,high,3.65,Low
evening,urban,3,yes,medium,medium,4.49,Medium
afternoon,isolated,3,no,high,high,3.14,Low
afternoon,isolated,0,no,low,medium,0.81,Medium
afternoon,rural,1,no,low,high,2.98,Medium
evening,rural,9,no,high,medium,0.38,Medium
night,isolated,8,yes,high,low,2.62,High
morning,urban,1,no,low,medium,0.61,Medium
afternoon,urban,2,no,low,medium,4.7,Medium
morning,urban,0,yes,high,medium,3.38,Low
afternoon,rural,8,yes,medium,high,4.64,Medium
night,rural,4,no,medium,low,0.57,High
night,rural,3,yes,high,medium,2.14,Medium
night,isolated,7,no,medium,low,3.82,High
night,urban,1,no,high,high,2.73,Medium
afternoon,rural,10,yes,high,low,2.72,Medium
night,urban,8,yes,high,low,1.96,Medium
morning,rural,5,no,high,low,3.0,Medium
afternoon,rural,10,no,medium,high,3.72,High
night,rural,5,yes,medium,low,1.58,Medium
afternoon,rural,6,no,high,high,1.9,Low
night,rural,1,yes,high,medium,2.42,Medium
afternoon,urban,6,yes,medium,low,0.99,Medium
evening,urban,6,yes,high,low,2.49,Medium
evening,isolated,8,yes,medium,high,2.1,Medium
afternoon,urban,8,no,medium,medium,4.35,High
morning,isolated,2,yes,low,medium,3.95,Medium
evening,urban,0,yes,low,medium,4.06,Medium
morning,rural,7,no,high,low,1.87,Medium
morning,rural,9,no,low,medium,0.43,High
evening,urban,6,no,low,high,0.46,Medium
afternoon,rural,6,no,medium,high,4.91,Medium
afternoon,isolated,3,yes,low,medium,3.53,Medium
evening,isolated,3,no,low,low,2.45,High
night,isolated,2,yes,medium,medium,1.66,Medium
morning,isolated,3,no,low,high,2.2,Medium
evening,rural,0,yes,high,low,3.8,Medium
afternoon,rural,3,no,high,medium,4.06,Medium
night,rural,0,yes,low,medium,2.25,Medium
afternoon,rural,9,yes,medium,low,3.94,High
night,rural,4,no,medium,high,4.05,High
morning,urban,5,yes,low,high,1.65,Low
night,rural,1,no,medium,high,3.31,High
evening,rural,2,yes,low,high,0.68,Low
morning,rural,2,yes,medium,high,4.84,Low
afternoon,isolated,2,yes,low,medium,4.46,Medium
night,urban,9,no,high,medium,0.46,High
morning,urban,1,no,medium,high,1.17,Low
evening,rural,7,yes,low,high,0.45,Medium
afternoon,rural,2,yes,high,medium,2.15,Low
night,isolated,0,yes,high,high,0.22,Low
morning,urban,2,no,high,high,1.62,Low
morning,rural,1,yes,high,high,4.08,Low
night,urban,6,yes,medium,medium,2.24,High
morning,isolated,10,yes,low,high,4.66,Medium
night,isolated,4,no,medium,medium,4.21,High
afternoon,isolated,1,no,low,high,2.28,Medium
evening,urban,3,yes,high,medium,2.5,Low
evening,rural,5,no,low,low,0.45,High
evening,isolated,4,no,medium,medium,1.21,Medium
morning,isolated,9,no,low,medium,0.24,High
morning,urban,7,no,low,high,1.48,Medium
morning,urban,7,no,low,high,3.84,High
night,isolated,4,no,low,high,4.82,High
morning,urban,2,no,medium,high,2.78,Low
afternoon,isolated,5,no,high,medium,1.09,Low
night,isolated,0,yes,low,low,4.43,High
afternoon,rural,4,no,medium,medium,1.77,Medium
evening,urban,2,yes,low,low,2.01,Medium
evening,isolated,0,no,low,medium,3.04,High
morning,rural,4,no,medium,medium,0.56,Medium
morning,urban,6,yes,medium,low,3.64,Medium
afternoon,isolated,5,no,medium,medium,3.5,Medium
night,rural,1,yes,medium,low,3.94,High
morning,isolated,9,no,low,low,1.29,High
evening,rural,10,yes,medium,medium,2.76,Medium
evening,urban,8,no,low,medium,0.3,High
afternoon,isolated,0,no,high,low,2.31,Medium
night,urban,4,no,medium,high,1.85,Medium
night,isolated,10,yes,high,medium,3.59,High
afternoon,isolated,10,yes,high,low,1.69,Medium
night,urban,5,yes,high,low,3.0,Medium
evening,urban,0,yes,medium,low,0.47,Low
evening,isolated,8,no,medium,medium,4.35,High
morning,isolated,0,no,low,high,4.16,Medium
evening,rural,4,no,high,medium,1.94,Medium
evening,rural,10,yes,high,medium,1.3,Medium
afternoon,rural,7,no,medium,low,4.58,High
morning,rural,6,no,low,medium,0.62,Medium
morning,isolated,9,yes,high,high,3.91,Medium
night,urban,2,no,medium,medium,0.61,Medium
evening,urban,1,yes,high,low,3.45,Medium
evening,urban,0,yes,low,high,1.35,Low
afternoon,urban,3,yes,medium,medium,2.99,Low
night,urban,7,no,low,high,3.2,High
morning,isolated,9,yes,medium,high,0.35,Low
morning,urban,10,yes,low,medium,1.25,Medium
morning,isolated,9,no,high,high,2.31,Medium
evening,urban,2,yes,low,medium,1.77,Low
afternoon,urban,7,yes,low,low,0.95,Medium
evening,urban,8,yes,high,medium,0.45,Low
evening,rural,10,no,low,high,4.72,High
evening,isolated,4,yes,high,medium,2.81,Low
evening,urban,6,no,high,medium,1.12,Medium
evening,isolated,1,no,high,low,4.62,Medium
night,isolated,1,yes,low,medium,1.19,Medium
night,isolated,9,yes,low,high,2.06,High
afternoon,rural,4,yes,low,high,0.47,Low
morning,rural,9,no,medium,high,0.45,Medium
morning,isolated,4,no,high,high,1.38,Low
afternoon,isolated,2,no,medium,low,1.37,Medium
night,isolated,5,no,high,low,0.76,High
afternoon,rural,5,yes,medium,medium,4.12,Medium
night,urban,6,no,medium,medium,1.77,High
morning,isolated,3,no,low,medium,4.55,Medium
evening,urban,9,no,low,low,0.57,High
night,isolated,7,no,high,high,1.65,Medium
morning,urban,3,yes,low,medium,4.12,Medium
evening,isolated,2,yes,medium,medium,4.33,Medium
night,isolated,9,yes,medium,medium,4.15,High
afternoon,rural,4,yes,low,high,3.37,Medium
morning,urban,8,no,medium,low,0.3,Medium
night,rural,9,yes,high,medium,3.33,High
morning,rural,9,no,medium,low,3.47,High
evening,rural,1,no,low,high,1.93,Medium
evening,rural,6,no,high,low,4.07,High
night,urban,3,yes,medium,low,0.38,Medium
afternoon,rural,8,no,medium,high,2.61,Medium
night,isolated,2,yes,medium,medium,0.77,Medium
evening,rural,10,yes,medium,medium,4.77,High
evening,rural,7,yes,high,high,1.96,Low
night,rural,3,no,medium,low,1.74,High
afternoon,urban,7,no,medium,medium,3.18,High
evening,urban,8,yes,medium,medium,2.89,Medium
morning,rural,1,yes,low,high,4.6,Low
evening,rural,6,yes,medium,high,1.84,Low
morning,isolated,2,no,low,low,2.18,Medium
evening,rural,1,yes,low,low,2.71,Medium
night,isolated,8,no,high,low,2.62,High
afternoon,urban,1,yes,low,high,3.17,Low
night,urban,9,no,low,medium,4.05,High
evening,rural,5,no,high,low,1.81,Medium
afternoon,urban,9,no,medium,low,4.02,High
afternoon,rural,5,no,low,low,0.44,Medium
morning,rural,7,yes,low,medium,3.97,Medium
evening,urban,2,no,medium,high,4.29,Medium
night,isolated,3,no,high,medium,2.19,Medium
evening,rural,2,no,low,low,1.43,Medium
afternoon,urban,3,no,medium,high,0.49,Low
evening,rural,2,yes,low,medium,1.37,Low
afternoon,urban,7,yes,low,low,3.82,High
morning,rural,3,yes,low,medium,2.98,Low
evening,urban,5,no,high,medium,1.16,Medium
afternoon,rural,6,no,high,low,2.9,Medium
evening,urban,7,no,medium,low,2.34,High
afternoon,isolated,9,yes,high,low,1.22,Medium
afternoon,rural,6,yes,low,high,1.16,Low
morning,isolated,9,no,low,medium,1.79,High
morning,urban,0,no,medium,low,1.24,Medium
morning,rural,0,no,low,low,0.33,Medium
evening,urban,4,no,high,medium,1.05,Medium
night,urban,2,no,medium,high,1.12,Medium
night,isolated,5,yes,high,high,3.56,Medium
night,rural,4,yes,medium,low,4.54,High
afternoon,urban,1,no,medium,medium,2.13,Medium
afternoon,isolated,7,no,high,high,4.57,Medium
night,rural,2,no,medium,high,1.43,Medium
morning,rural,1,no,medium,low,0.93,Medium
morning,rural,0,yes,high,high,4.35,Low
night,urban,3,no,medium,high,0.31,Medium
morning,isolated,2,yes,high,medium,4.02,Low
afternoon,rural,6,no,medium,high,4.92,Medium
afternoon,urban,5,no,low,low,3.75,High
morning,rural,2,yes,high,high,4.83,Low
afternoon,isolated,2,yes,high,low,2.42,Low
night,urban,8,no,high,low,0.44,High
afternoon,urban,8,no,high,high,4.54,Medium
morning,isolated,4,yes,medium,medium,3.59,Medium
morning,rural,7,no,high,low,0.6,Medium
afternoon,rural,2,no,medium,low,0.82,Medium
morning,urban,4,no,medium,low,2.35,Medium
night,urban,6,yes,low,high,3.18,High
morning,isolated,0,yes,medium,medium,0.71,Low
morning,isolated,3,yes,medium,medium,2.24,Low
night,rural,0,yes,medium,high,3.89,Medium
evening,rural,4,no,high,low,2.89,Medium
afternoon,isolated,1,no,high,high,2.88,Low
afternoon,isolated,3,yes,low,medium,2.33,Low
morning,rural,2,yes,low,medium,4.4,Medium
morning,isolated,6,no,high,medium,3.3,Medium
evening,isolated,0,no,low,medium,3.88,High
night,rural,2,no,low,low,0.77,High
morning,isolated,4,no,high,low,0.72,Medium
night,isolated,6,no,high,medium,0.75,High
afternoon,rural,2,yes,medium,high,2.79,Low
night,isolated,1,yes,medium,medium,0.26,Medium
afternoon,urban,0,no,low,medium,1.85,Medium
evening,isolated,1,yes,low,medium,0.96,Low
evening,isolated,10,yes,high,low,3.26,High
evening,isolated,8,yes,high,medium,1.52,Low
morning,urban,0,yes,medium,low,0.23,Low
morning,urban,4,yes,high,high,4.85,Low
night,urban,8,no,medium,medium,0.99,High
evening,urban,10,no,high,low,0.33,High
night,rural,10,yes,medium,medium,1.08,High
night,isolated,1,yes,low,medium,4.7,High
morning,rural,8,yes,medium,high,2.47,Low
night,rural,4,no,medium,high,3.0,High
evening,rural,5,no,high,medium,2.16,Medium
morning,urban,2,yes,medium,medium,4.73,Low
morning,isolated,5,yes,low,high,0.46,Low
morning,rural,10,yes,medium,low,3.61,High
evening,rural,7,yes,low,high,4.76,Medium
afternoon,urban,8,no,high,medium,4.64,Medium
afternoon,isolated,2,no,medium,low,2.15,Medium
morning,isolated,4,yes,medium,low,3.1,Medium
afternoon,urban,3,no,high,high,3.52,Low
evening,rural,2,yes,low,medium,1.38,Low
night,rural,10,yes,low,low,3.37,High
night,isolated,10,no,medium,high,3.77,High
night,urban,4,yes,high,high,0.59,Low
morning,isolated,8,no,medium,high,4.26,Medium
evening,rural,6,yes,medium,low,1.97,Medium
night,isolated,5,yes,low,medium,0.61,Medium
evening,rural,6,no,high,high,1.02,Medium
morning,urban,3,yes,high,low,0.66,Low
night,rural,0,yes,low,low,4.96,High
night,rural,10,no,high,medium,2.19,High
evening,isolated,7,yes,medium,high,3.27,Medium
night,isolated,6,no,high,high,1.55,Medium
night,rural,4,no,low,medium,3.6,High
night,urban,2,yes,low,high,3.22,Medium
afternoon,urban,4,no,high,medium,3.38,Medium
afternoon,urban,3,yes,high,low,4.22,Low
morning,urban,2,yes,low,high,1.74,Low
night,isolated,0,yes,low,low,4.82,High
night,urban,8,no,medium,low,3.6,High
evening,isolated,3,yes,medium,low,3.96,Medium
afternoon,urban,1,yes,high,medium,3.83,Low
evening,isolated,10,yes,low,high,3.33,High
morning,rural,1,no,medium,medium,1.23,Low
evening,urban,7,yes,medium,medium,0.96,Medium
morning,urban,2,yes,high,medium,4.65,Low
afternoon,rural,7,no,medium,high,2.97,Medium
afternoon,rural,7,yes,high,low,2.22,Medium
morning,rural,10,yes,high,low,1.99,Medium
evening,isolated,2,yes,low,medium,1.98,Low
night,isolated,7,no,low,medium,1.67,High
afternoon,rural,1,yes,high,high,3.49,Low
afternoon,isolated,5,yes,medium,high,3.39,Low
morning,rural,2,no,medium,low,4.92,Medium
afternoon,urban,5,yes,medium,low,4.34,Medium
night,isolated,0,yes,low,high,2.9,Medium
night,urban,5,no,high,medium,3.9,High
night,urban,3,no,high,medium,0.54,Medium
evening,rural,5,no,high,medium,4.45,Medium
night,urban,3,yes,low,high,4.2,Medium
morning,isolated,4,no,low,high,0.77,Medium
afternoon,urban,6,yes,medium,medium,3.92,Medium
afternoon,urban,6,yes,low,low,3.15,High
evening,rural,0,no,high,medium,2.4,Medium
night,urban,6,no,high,medium,1.05,High
night,rural,0,no,medium,medium,2.65,High
afternoon,rural,8,yes,high,low,3.47,Medium
morning,isolated,10,no,medium,high,3.78,High
morning,urban,9,no,low,high,4.74,High
evening,rural,4,no,medium,medium,1.97,Medium
night,rural,9,no,low,low,1.64,High
morning,isolated,5,yes,medium,medium,0.22,Low
night,urban,10,yes,high,low,1.88,High
afternoon,urban,3,no,low,medium,3.73,Medium
morning,rural,7,no,low,high,0.59,Medium
afternoon,rural,4,yes,low,medium,1.6,Low
afternoon,rural,7,yes,low,high,0.88,Low
evening,isolated,5,no,high,high,3.44,Medium
evening,isolated,9,no,high,high,4.62,High
morning,rural,0,yes,high,high,1.27,Low
evening,isolated,3,no,high,low,4.11,Medium
night,rural,10,yes,medium,medium,0.54,High
evening,isolated,3,no,high,medium,2.81,Medium
evening,rural,3,no,high,high,2.17,Low
afternoon,rural,2,no,low,high,2.75,Medium
morning,rural,5,yes,medium,low,4.53,Medium
morning,urban,10,yes,medium,low,2.72,Medium
evening,urban,2,no,medium,low,0.51,Medium
evening,rural,6,yes,medium,low,1.58,Medium
afternoon,isolated,0,no,low,high,4.22,Medium
evening,rural,4,no,medium,high,3.43,Medium
morning,urban,3,yes,high,medium,0.39,Low
night,rural,5,yes,low,medium,3.05,High
night,isolated,8,no,low,high,1.03,High
evening,rural,7,yes,low,high,0.45,Medium
evening,rural,2,no,medium,low,0.59,Medium
morning,isolated,1,yes,medium,medium,2.19,Low
morning,rural,3,yes,medium,low,1.98,Low
morning,isolated,10,no,high,medium,0.4,Medium
evening,isolated,6,yes,high,medium,4.08,Medium
morning,isolated,5,no,medium,medium,4.0,Medium
afternoon,rural,5,no,high,low,4.29,Medium
afternoon,rural,9,yes,high,low,4.51,Medium
evening,rural,4,yes,high,medium,3.23,Medium
evening,isolated,3,no,medium,medium,4.77,Medium
night,urban,0,no,high,low,4.33,High
night,rural,1,yes,medium,medium,2.33,Medium
morning,urban,10,no,high,low,3.43,High
afternoon,rural,5,no,high,low,0.69,Medium
afternoon,rural,9,no,medium,low,1.33,High
night,isolated,10,yes,high,high,4.73,High
morning,isolated,7,yes,high,low,2.83,Medium
evening,urban,0,no,high,medium,3.96,Medium
night,rural,2,yes,high,low,3.01,Medium
evening,isolated,0,no,medium,high,0.59,Low
night,rural,2,no,high,low,0.39,Medium
morning,isolated,10,no,low,high,4.61,High
afternoon,urban,2,yes,medium,high,3.29,Low
morning,isolated,3,yes,low,high,3.76,Low
morning,isolated,8,no,low,medium,0.53,Medium
evening,rural,3,yes,medium,medium,2.76,Low
night,urban,7,no,medium,high,1.88,High
morning,urban,8,no,medium,medium,1.27,Medium
morning,urban,2,yes,high,high,2.27,Low
morning,rural,7,no,high,low,1.97,Medium
morning,urban,0,yes,high,medium,4.81,Low
morning,isolated,8,no,medium,low,2.29,High
morning,isolated,1,no,high,medium,1.46,Low
night,rural,3,no,low,low,4.73,High
evening,urban,4,yes,high,high,3.47,Low
night,urban,0,no,medium,medium,4.36,High
evening,rural,6,yes,medium,medium,3.17,Medium
morning,isolated,0,yes,high,low,3.94,Low
afternoon,urban,2,no,medium,high,3.67,Medium
evening,isolated,8,no,high,high,2.39,Medium
night,rural,10,yes,low,high,4.94,High
night,urban,7,yes,medium,high,1.63,Medium
night,urban,1,yes,high,medium,1.44,Low
afternoon,urban,2,no,low,medium,1.72,Medium
evening,isolated,6,yes,low,low,3.53,High
afternoon,urban,3,no,high,low,2.41,Medium
night,rural,10,yes,low,low,1.38,High
morning,isolated,9,yes,medium,medium,2.92,Medium
night,urban,0,no,medium,low,4.43,High
morning,urban,10,no,medium,high,1.56,Medium
night,urban,3,yes,medium,high,4.81,Medium
afternoon,rural,8,yes,medium,high,1.2,Low
evening,urban,9,no,low,low,3.23,High
morning,isolated,5,yes,high,high,1.83,Low
night,rural,7,no,medium,low,0.73,High
morning,rural,1,no,high,high,3.07,Low
morning,isolated,8,no,medium,medium,1.4,Medium
evening,isolated,4,no,high,high,3.07,Medium
evening,isolated,5,no,medium,medium,3.91,High
evening,isolated,0,no,low,low,0.92,Medium
morning,rural,3,yes,high,high,2.27,Low
evening,isolated,0,yes,medium,high,1.39,Low
morning,urban,0,no,high,high,2.45,Low
night,urban,1,no,high,high,0.47,Medium
morning,urban,3,no,high,high,4.01,Low
morning,isolated,10,no,high,low,3.28,High
evening,rural,7,yes,low,high,1.68,Medium
afternoon,isolated,8,no,high,high,3.76,Medium
morning,urban,2,yes,low,medium,3.82,Medium
afternoon,isolated,2,no,low,high,3.92,Medium
afternoon,rural,1,no,low,low,3.84,High
evening,isolated,9,yes,high,medium,1.42,Medium
evening,rural,3,no,high,low,3.74,Medium
afternoon,isolated,4,yes,medium,high,1.68,Low
morning,urban,2,no,high,medium,2.38,Low
morning,urban,4,yes,high,high,0.62,Low
night,urban,6,no,medium,low,4.72,High
evening,rural,3,no,low,medium,2.11,Medium
night,urban,8,no,low,medium,3.52,High
morning,rural,9,yes,medium,medium,3.49,Medium
afternoon,isolated,0,yes,high,medium,3.81,Low
evening,isolated,9,no,high,low,1.16,High
evening,isolated,4,yes,medium,low,4.04,Medium
evening,rural,0,no,high,low,1.67,Medium
afternoon,isolated,0,yes,medium,medium,1.66,Low
evening,isolated,8,yes,medium,low,3.15,High
afternoon,urban,10,no,medium,medium,1.35,Medium
night,urban,7,no,medium,low,1.41,High
morning,rural,8,yes,low,low,1.47,Medium
morning,isolated,1,yes,high,low,3.62,Low
morning,urban,7,no,high,medium,1.28,Medium
morning,isolated,7,yes,high,low,2.39,Medium
night,urban,3,no,medium,medium,3.9,High
morning,rural,0,no,high,medium,2.8,Low
afternoon,urban,2,no,medium,medium,3.12,Medium
night,rural,8,yes,high,medium,4.56,High
evening,urban,10,yes,low,low,3.93,High
afternoon,urban,7,yes,low,low,1.96,Medium
night,urban,5,no,medium,high,3.01,High
evening,isolated,2,no,medium,low,4.31,High
evening,urban,4,no,medium,high,0.91,Medium
morning,rural,8,yes,medium,medium,3.49,Medium
night,rural,5,no,low,low,3.38,High
evening,isolated,0,yes,low,high,4.12,Medium
night,rural,0,no,low,medium,3.2,High
evening,rural,2,yes,high,low,2.57,Low
afternoon,urban,2,no,high,high,4.33,Low
evening,urban,0,no,medium,low,4.31,High
morning,rural,8,yes,low,medium,2.81,Medium
afternoon,rural,7,yes,low,medium,2.72,Medium
afternoon,urban,8,yes,low,high,4.95,Medium
morning,urban,5,no,high,high,0.65,Low
afternoon,rural,4,yes,low,low,3.3,Medium
morning,urban,7,no,low,medium,4.57,High
afternoon,urban,1,no,medium,medium,1.99,Low
morning,isolated,7,no,low,low,3.88,High
afternoon,rural,2,yes,medium,high,1.39,Low
morning,isolated,4,no,medium,medium,0.35,Medium
evening,isolated,9,yes,medium,high,3.71,Medium
night,urban,3,yes,high,high,2.59,Low
night,rural,7,no,low,high,2.91,High
night,rural,7,no,medium,low,0.64,High
night,isolated,0,no,high,high,3.35,Medium
morning,isolated,9,no,high,high,1.38,Medium
afternoon,isolated,0,no,medium,low,2.22,Medium
afternoon,rural,3,yes,low,high,1.5,Low
night,isolated,4,no,high,high,1.66,Medium
evening,urban,7,no,low,medium,3.9,High
afternoon,urban,10,yes,high,high,1.71,Low
night,urban,7,yes,medium,medium,1.83,Medium
afternoon,rural,8,no,high,high,4.47,Medium
morning,urban,7,yes,high,medium,1.51,Low
night,rural,2,yes,high,low,2.95,Medium
afternoon,urban,3,no,high,high,1.41,Low
morning,rural,2,no,high,high,3.11,Low
night,urban,1,yes,high,high,4.47,Medium
evening,rural,3,yes,medium,low,0.6,Low
afternoon,rural,9,no,high,medium,0.29,Medium
night,isolated,7,no,medium,medium,4.28,High
evening,urban,4,yes,medium,medium,3.27,Medium
afternoon,rural,1,no,high,low,4.22,Medium
evening,urban,0,yes,high,low,4.55,Medium
night,rural,3,no,high,medium,3.79,High
night,rural,8,yes,low,high,2.55,High
evening,isolated,1,yes,medium,medium,1.59,Low
night,urban,3,no,medium,high,1.57,Medium
morning,rural,7,no,high,high,3.75,Medium
afternoon,urban,2,yes,low,high,4.93,Low
evening,rural,7,yes,low,low,3.66,High
evening,urban,3,yes,medium,medium,3.84,Medium
evening,rural,9,yes,medium,high,4.3,Medium
afternoon,urban,7,no,low,high,3.48,High
morning,isolated,0,no,high,low,1.69,Low
evening,urban,9,yes,low,medium,3.36,High
afternoon,rural,8,no,high,low,4.31,High
evening,rural,8,yes,medium,low,2.99,Medium
night,isolated,6,no,high,medium,4.78,High
morning,urban,0,no,high,high,4.01,Low
night,isolated,0,yes,high,low,1.56,Medium
night,urban,1,yes,high,high,2.58,Low
afternoon,isolated,3,yes,medium,high,1.43,Low
morning,rural,1,yes,medium,low,2.42,Low
evening,rural,8,no,medium,medium,5.0,High
night,rural,0,no,medium,low,1.6,High
afternoon,rural,1,yes,high,low,1.98,Low
evening,urban,4,no,low,low,2.58,High
morning,urban,8,yes,medium,high,3.13,Medium
evening,rural,5,yes,low,low,3.29,High
evening,isolated,10,yes,high,high,3.03,Medium
night,urban,7,no,high,low,4.15,High
night,urban,5,yes,medium,medium,2.45,Medium
evening,isolated,4,no,high,medium,1.4,Medium
morning,urban,7,yes,medium,low,3.9,Medium
night,urban,6,no,low,low,4.03,High
night,rural,10,yes,low,medium,3.01,High
morning,isolated,4,no,low,low,3.36,High
evening,urban,8,yes,high,high,0.89,Low
afternoon,urban,3,no,medium,medium,2.77,Medium
morning,isolated,1,no,medium,low,1.1,Medium
evening,urban,9,no,high,low,0.64,High
evening,urban,3,no,high,high,4.12,Medium
night,isolated,4,yes,medium,high,4.81,Medium
night,urban,0,yes,medium,low,4.1,High
evening,isolated,8,no,medium,high,0.29,Medium
afternoon,rural,5,yes,medium,high,0.56,Low
afternoon,rural,5,no,medium,high,2.32,Medium
evening,isolated,9,no,high,low,2.64,High
evening,rural,1,no,medium,low,3.79,High
evening,urban,4,yes,low,low,3.99,High
night,urban,7,yes,low,high,1.42,Medium
morning,isolated,6,yes,medium,high,3.22,Medium
morning,isolated,3,no,low,high,2.65,Medium
afternoon,isolated,1,yes,medium,medium,3.86,Low
evening,isolated,5,yes,high,low,0.23,Low
evening,isolated,7,yes,high,low,2.89,Medium
evening,isolated,3,yes,low,high,1.3,Low
afternoon,rural,1,no,medium,high,4.03,Medium
morning,isolated,0,no,medium,high,4.56,Medium
evening,urban,7,no,high,medium,2.76,Medium
evening,urban,0,yes,medium,high,1.75,Low
night,rural,8,yes,high,low,3.04,High
morning,urban,4,no,medium,low,3.26,High
morning,rural,9,yes,medium,medium,3.24,Medium
night,isolated,1,yes,medium,low,1.85,Medium
evening,urban,4,no,medium,low,1.83,Medium
night,rural,7,no,medium,low,0.62,High
morning,rural,10,no,medium,medium,4.0,High
afternoon,rural,5,yes,medium,low,3.88,Medium
evening,urban,2,yes,medium,high,0.51,Low
morning,rural,7,yes,low,medium,4.92,Medium
afternoon,urban,6,no,medium,high,2.59,Medium
night,isolated,3,yes,medium,medium,0.32,Medium
night,isolated,5,no,low,medium,0.98,High
morning,rural,5,yes,high,high,3.86,Low
night,urban,8,yes,medium,low,4.57,High
morning,rural,6,yes,medium,high,2.68,Low
evening,rural,1,no,medium,high,3.03,Medium
evening,urban,0,yes,low,high,2.42,Low
morning,urban,8,no,low,low,2.86,High
morning,rural,9,no,high,medium,2.24,Medium
night,rural,3,no,high,low,2.46,High
afternoon,isolated,1,yes,low,high,2.93,Low
